manufacturer,icao_code,model,physical_class,number_of_engines,weight
Fokker,,F-28-1000 Fellowship,Jet,2,29.48348
Fokker,,F-28-2000 Fellowship,Jet,2,29.48348
Fokker,,F-28-3000 Fellowship,Jet,2,33.112216
Fokker,,F-28-4000 Fellowship,Jet,2,33.112216
Fokker,,F-28-6000 Fellowship,Jet,2,33.112216
Fokker VFW,,VFW 614 (engines on over-wing pylons),Jet,2,19.958048
Game Composites,,GB1 GameBird,Piston,1,0.9979024
General Dynamics,,F-16C Fighting Falcon,Jet,1,19.1869416
Glasair Aviation,GLAS,Merlin,Piston,1,0.59874144
Glasair Aviation,GLST,Sportsman 2+2,Piston,1,1.0659412
Glasair Aviation,GLAS,Sportsman,Piston,1,1.2020188
Glasair Aviation (Stoddard-Hamilton Aircraft),GLST,Glastar,Piston,1,0.88904032
Glasair Aviation (Stoddard-Hamilton Aircraft),GLAS,Glasair II RG,Piston,1,0.9525432
Glasair Aviation (Stoddard-Hamilton Aircraft),GLAS,Glasair I,Piston,1,0.9979024
Glasair Aviation (Stoddard-Hamilton Aircraft),GLAS,Glasair III,Piston,1,1.0886208
Glasair Aviation (Stoddard-Hamilton Aircraft),GLAS,T-9 Stalker (military Glasair III),Piston,1,1.2246984
Grumman American,AA5,AA-5 Traveler,Piston,1,0.9979024
Grumman American,AA5,AA-5B Tiger,Piston,1,1.0886208
Grumman American,GA7,GA-7 Cougar,Piston,2,1.7236496
Grumman American (Tiger Aircraft),AA5,AG-5B Tiger,Piston,1,1.0886208
Grumman American Aviation Corp,AA1,AA-1B Trainer and TR-2,Piston,1,0.70760352
Gulfstream (Grumman Aircraft Engineering),,"Gulfstream I (G-I), model G-159",Turboprop,2,16.329312
Gulfstream (Gulfstream Aerospace Corp.),GLF4,G300,Jet,2,32.658624
Gulfstream (Gulfstream Aerospace Corp.),GLF4,Gulfstream IV,Jet,2,33.2029344
Gulfstream (Gulfstream Aerospace Corp.),GLF4,"Gulfstream IV-SP, G400",Jet,2,33.8379632
Gulfstream (Gulfstream American Corp.),,"Gulfstream IC (G-IC), model G-159C",Turboprop,2,16.329312
Gulfstream (Gulfstream American Corp.),GLF2,"Gulfstream II (G-II), model G-1159",Jet,2,29.3927616
Gulfstream (Gulfstream American Corp.),GLF2,"Gulfstream II-SP (G-II-SP),",Jet,2,29.710276
Gulfstream (Gulfstream American Corp.),GLF2,"Gulfstream IITT (G-IITT), model G-1159",Jet,2,29.710276
Gulfstream (Gulfstream American Corp.),GLF2,Gulfstream IIB (G-IIB is a G-II fitted with a G-III wing),Jet,2,31.6153624
Gulfstream (Gulfstream American Corp.),GLF3,"Gulfstream III (G-III), model G-1159A",Jet,2,31.6153624
Gulfstream Aerospace Corp.,GALX,G200 (the IAI Galaxy 1126 rebranded in 2001 as the G200),Jet,2,16.1705548
Gulfstream Aerospace Corp.,G280,G280,Jet,2,17.9622432
Gulfstream Aerospace Corp.,GLF4,G350 (less range than its big brother the G450),Jet,2,32.1596728
Gulfstream Aerospace Corp.,GLF4,G450,Jet,2,33.5204488
Gulfstream Aerospace Corp.,GLF5,G500,Jet,2,36.1059232
Gulfstream Aerospace Corp.,GLF5,Gulfstream V (G-V),Jet,2,41.050076
Gulfstream Aerospace Corp.,GLF5,G550 (is the newer version of V-SP),Jet,2,41.276872
Gulfstream Aerospace Corp.,GLF5,Gulfstream V-SP (G-V-SP),Jet,2,41.276872
Gulfstream Aerospace Corp.,GA6C,G600,Jet,2,42.9098032
Gulfstream Aerospace Corp.,GLF6,G650,Jet,2,45.1777632
Gulfstream Aerospace Corp.,,G650ER,Jet,2,46.9921312
Gulfstream Aerospace Corp. (General Dynamics),ASTR,G100 (the IAI Astra SPX rebranded in 2002 as the G100),Jet,2,11.1810428
Gulfstream Aerospace Corp. (General Dynamics),G150,G150,Jet,2,11.8387512
Gulfstream American (division of Gulfstream Aerospace),AA1,AA-1C Lynx and T-Cat,Piston,1,0.7257472
Handley-Page,,HP HERALD,,,19.504456
Hawker Beechcraft,BE40,"Hawker 400, 400A (formerly Raytheon Beechjet 400A)",Jet,2,7.3028312
Hawker Beechcraft,BE40,Hawker 400XP (formerly Raytheon Beechjet 400A),Jet,2,7.3935496
Hawker Beechcraft,H25B,Hawker 700 (aka HS 125-700A),Jet,2,11.566596
Hawker Beechcraft,H25B,Hawker 750 (offshoot of 800XP),Jet,2,12.700576
Hawker Beechcraft,H25B,"Hawker 800, 800XP (with winglets, formerly BAe/HS 125-700/800)",Jet,2,12.700576
Hawker Beechcraft,H25B,"Hawker 800, 800XP (without winglets, formerly BAe/HS 125-700/800)",Jet,2,12.700576
Hawker Beechcraft,H25B,"Hawker 850XP (the 800XP with factory-installed winglets, interior updates)",Jet,2,12.700576
Hawker Beechcraft,H25B,"Hawker 900XP (the 850XP with better engines, longer range)",Jet,2,12.700576
Hawker Beechcraft,H25C,Hawker 1000 (formerly BAe/HS 125-1000),Jet,2,14.061352
Hawker Beechcraft,HA4T,Hawker 4000 (Horizon),Jet,2,17.916884
Hawker-Siddeley,,HS 125 SERIES 400A,,,10.5686936
Hawker-Siddeley,,HS 125 SERIES 700A,,,10.9769264
Hawker-Siddeley,,HS 125 SERIES 600A,,,11.3398
Hawker-Siddeley,A748,748,,,21.092028
Hawker-Siddeley,A748,HS 780 ANDOVER C.MK.1,,,22.6796
Hawker-Siddeley,,ARGOSY,,,42.184056
Hawker-Siddeley,,ARGOSY,,,43.998424
Hawker-Siddeley,,HS 121 TRIDENT 1E,,,61.461716
Hawker-Siddeley,,HS 121 TRIDENT 2E,,,65.317248
Hawker-Siddeley,,HS 121 TRIDENT 3B,,,68.0388
Hawker-Siddeley,TRID,HS 121 Trident Super 3B,,,71.667536
Hawker-Siddeley,,HS 801 NIMROD MR MK.2,,,80.51258
Honda,HDJT,HA-420 Honda Jet,Jet,2,4.8080752
Icon Aircraft,,A5 Amphibious Light Sport (S-LSA),Piston,1,0.68492392
Ilyushin,,IL-12,,,17.236496
Ilyushin,IL18,IL-18,,,61.07162688
Ilyushin,IL62,IL-62,,,164.9986259
Ilyushin,IL76,IL-76,,,169.9994777
Ilyushin,IL86,IL-86,,,205.9988068
Israel Aircraft Industries (IAI),ARVA,Arava 101/201,Turboprop,,6.80388
Israel Aircraft Industries (IAI),JCOM,1121A Jet Commander,Jet,2,7.93786
Israel Aircraft Industries (IAI),JCOM,1121B Commodore,Jet,2,7.93786
Israel Aircraft Industries (IAI),WW23,1123 Westwind,Jet,2,9.3893544
Israel Aircraft Industries (IAI),WW24,1124 Westwind I,Jet,2,10.659412
Israel Aircraft Industries (IAI),WW24,1124A Westwind II,Jet,2,10.659412
Israel Aircraft Industries (IAI),ASTR,1125 Astra,Jet,2,10.659412
Israel Aircraft Industries (IAI),ASTR,1125 Astra SP and SPX,Jet,2,11.1810428
Israel Aircraft Industries (IAI),ASTR,1125 Astra Galaxy,Jet,2,16.1705548
Israel Aircraft Industries (IAI) but originally Aero Commander's 1121 Jet Commander,JCOM,1121 Jet Commander,Jet,2,7.6203456
Issoire Aviation,,"APM 20 Lionceau (Lion cub), APM 21 Lion",Piston,1,0.619606672
Jabiru,JABI,JAB4,Piston,1,0.6
Kawasaki Heavy Industries,,C-1,,,38.70046944
Khrunichev,,T-411 Aist (Stork),Piston,1,1.650167696
Lake Aircraft,LA4,LA-4-180,Piston,1,1.0886208
Lake Aircraft,LA4,LA-4-200 Buccaneer/EP,Piston,1,1.1793392
Lake Aircraft,LA25,LA-250 Renegade and Seawolf (military) and LA-270 Turbo Renegade and Seafury (saltwater),Piston,1,1.42427888
Lancair,,Legacy RG,Piston,1,0.9979024
Lancair,,LC-40 Columbia 300/350/400,Piston,1,1.5422128
Lancair,,Turbo Mako,Piston,1,1.6102516
Lancair,EVOT,Evolution (EVOT-850),,,2.0638436
LET Aircraft Industries,,L-410 UVP-E20,Turboprop,2,6.5997636
LET Aircraft Industries,,L-410 NG (New Generation),Turboprop,2,7.00119252
Liberty Aerospace,,Liberty XL-2,Piston,1,0.749787576
Lockheed,L29A,1329 JetStar,,,19.84465
Lockheed,P3,P-3 Orion,,,61.23492
Lockheed,C130,C-130-100-20 Hercules*,,,70.30676
Lockheed,C130,C-130-100-20 Hercules*,,,70.30676
Lockheed,C130,"C-130H, J",,,70.30676
Lockheed,C130,C-130J-30,,,74.389088
Lockheed,C141,C-141A,,,143.6072272
Lockheed,C141,C-141B,,,155.582056
Lockheed,L101,L-1011-1 Tristar,,,195.04456
Lockheed,L101,1011-100,,,211.373872
Lockheed,L101,1011-200,,,211.373872
Lockheed,L101,1011-250,,,231.33192
Lockheed,L101,1011-500,,,234.053472
Lockheed,C5,C-5B,,,348.812248
Lockheed,C5,C-5B Galaxy,,,379.656504
Mahindra Aerospace,,Airvan 8 Turbo,Piston,1,1.9050864
Mahindra Aerospace,,Airvan 10,Jet,1,2.154562
Martin,,MARTIN-404,,,20.3662808
Mcdonnell Douglas,A4*,A-4,,,11.113004
Mitsubishi,MU2,MU-2L Marquise/Solitaire,Turboprop,2,5.2503274
Mitsubishi,,"MU-300 Diamond I, IA",Jet,2,6.63605096
Mitsubishi,,F-2A,Jet,1,22.0899304
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",MITE,M18C Mite,Piston,1,0.3855532
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",ERCO,A 2-A Cadet (same as Ercoupe 415-C),Piston,1,0.57152592
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M10,M10 Cadet,Piston,1,0.6577084
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,"M20, M20A, M20B",Piston,1,1.1113004
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20D Master,Piston,1,1.13398
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20G Statesman,Piston,1,1.1453198
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20C Ranger,Piston,1,1.1679994
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20E Super 21/Chaparral,Piston,1,1.1679994
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20F Executive 21,Piston,1,1.24284208
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20J 201 (MSE Mooney Special Edition),Piston,1,1.24284208
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20T,M20K 231 Turbo Mooney,Piston,1,1.3154168
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20L PFM,Piston,1,1.3154168
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20T,"M20K 252TSE, Encore",Piston,1,1.41974296
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20S Eagle/Eagle 2,Piston,1,1.4968536
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20T,M20M TLS Bravo,Piston,1,1.527697856
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,"M20U Ovation Ultra, M20V Acclaim Ultra (turbocharged)",Piston,1,1.527697856
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20R Ovation/Ovation 2/Ovation 3,Piston,1,1.530419408
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M20P,M20TN Acclaim,Piston,1,1.530419408
"Mooney International Corporation (former Mooney Aviation Company, Inc.)",M22,M22 Mustang,Piston,1,1.66921856
Moravan Otrokvice,,Zlin Z-43,Piston,1,1.349889792
Morrisey Aircraft,,"Nifty, 2000",Piston,1,0.7257472
Morrisey Aircraft,,OM-1 and OM-1-2 Bravo II,Piston,1,0.7711064
Morrisey Aircraft,,"2150, 2150A Kachina, and 2150ATG",Piston,1,0.824176664
Mustang Aeronautics for Homebuilding,,Bushby Mustang 2,Piston,1,0.680388
Nihon,,YS-11,,,24.49850392
North American Aviation,NAVI,NA-145 Navion A (miliary L-17A/B/C (redesignated U-18A/B/C)),Piston,1,1.247378
North American Rockwell,SS2P,Thrush Commander 600/800,Piston,1,2.721552
North American Rockwell,SBR1,Sabre 40/60,Jet,2,8.05579392
Northrop,B2,B-2,,,152.633708
Partenavia,,P.68C Victor,,,2.849918536
Piaggio,,P-166 PORTOFINO,,,4.30005216
Piaggio,,PD-808,,,8.3007336
Piaggio Aero,P180,P-180 Avanti,Turboprop,2,4.90332952
Piaggio Aero,P180,P-180 Avanti II,Turboprop,2,5.4657836
Pilatus,PC6P,PC-6 Porter,Turboprop,1,2.1999212
Pilatus,PC12,PC-12 NG,Turboprop,1,4.7400364
Pilatus,,PC-24 Super Versatile Jet,Jet,2,8.150141056
Piper,J3,J-3 Cub,Piston,1,0.55338224
Piper,PA18,PA-18-150 Super Cub,Piston,1,0.793786
Piper,P28A,PA-28S-160 Cherokee C Seaplane,Piston,1,0.97068688
Piper,P28A,"PA-28-140/150/160 Cherokee Cruiser/Flight Liner, 150, 160",Piston,1,0.9752228
Piper,P28A,PA-28S-180 Cherokee C Seaplane,Piston,1,1.007881424
Piper,P28A,PA-28-151 and -161 Cherokee Warrior/Cadet,Piston,1,1.0546014
Piper,P28A,PA-28-180 Cherokee,Piston,1,1.0886208
Piper,P28A,"PA-28-161 Cherokee Warrior II, III",Piston,1,1.10676448
Piper,P28A,"PA-28-180 Cherokee Challenger, Archer",Piston,1,1.1113004
Piper,P28R,PA-28R-180 Cherokee Arrow,Piston,1,1.13398
Piper,P28A,"PA-28-181 Cherokee Archer II, III, DX, TX",Piston,1,1.1566596
Piper,P28R,PA-28R-200 Cherokee Arrow,Piston,1,1.1793392
Piper,P28R,PA-28R-200 Cherokee Arrow II,Piston,1,1.1793392
Piper,P28R,PA-28R-201 Cherokee Arrow III,Piston,1,1.247378
Piper,P28T,PA-28RT-201 Cherokee Arrow IV (has T tail),Piston,1,1.247378
Piper,P28B,PA-28-210T Cherokee Turbo Dakota,Piston,1,1.3154168
Piper,P28A,PA-28-235 Cherokee,Piston,1,1.3154168
Piper,P28R,PA-28R-201T Cherokee Turbo Arrow III,Piston,1,1.3154168
Piper,P28R,PA-28RT-201T Cherokee Turbo Arrow IV (has T tail),Piston,1,1.3154168
Piper,P28A,PA-28-235 Cherokee Pathfinder/Charger,Piston,1,1.360776
Piper,P28A,PA-28-236 Cherokee Dakota,Piston,1,1.360776
Piper,PA32,PA-32-300 Cherokee Six,Piston,1,1.5422128
Piper,PA32,"PA-32-301 Saratoga, 32R-301 Saratoga SP/IIHP, 32R-301T Saratoga II TC, 32-301FT Piper 6X , and 32-301XTC Piper 6XT",Piston,1,1.6329312
Piper,PA44,"PA-44-180 Seminole, -180T Turbo Seminole",Piston,2,1.7236496
Piper,PA46,"PA-46-310P Malibu, -350P Malibu Mirage, 46R-350T Malibu Matrix, M350",Piston,1,1.96858928
Piper,PA34,"PA-34-220T Seneca III, IV, V",Piston,2,2.154562
Piper,P46T,PA-46-400TP Malibu Meridian,Turboprop,1,2.1999212
Piper,P46T,"PA-46-500TP Malibu Meridian, M500",Turboprop,1,2.309690464
Piper,PA31,PA-31-300 Navajo (turbocharged model unofficially known as -310),Piston,2,2.721552
Piper,P46T,"PA-46-600TP Malibu Meridian, M600",Turboprop,1,2.721552
Piper,,PA-60 Sequoya (Aerostar 602P) (the Piper version of the 601P),Piston,2,2.721552
Piper,,PA-61 Aerostar 601 (is the 600 turbocharged),Piston,2,2.721552
Piper,,PA-61B Aerostar 601B (is 601 with increased WS),Piston,2,2.721552
Piper,,PA-61P Aerostar 601P (is 601 pressurized + increased gross weight),Piston,2,2.721552
Piper,AEST,PA-60 Aerostar 700P (602P with counter rot engines),Piston,2,2.86443348
Piper,PA31,PA-31 Navajo,Piston,2,2.948348
Piper,PA31,PA-31-325 Navajo C/R,Piston,2,2.948348
Piper,AEST,PA-60 Aerostar 702P (700P with reinf nose gear for higher MTOW),Piston,2,3.1071052
Piper,PA31,PA-31-350 Chieftain/T-1020 Navajo C/R,Piston,2,3.175144
Piper,PA31,PA-31P-350 Mojave,Piston,2,3.2658624
Piper,PA31,PA-31P Navajo (pressurized),Piston,2,3.5380176
Piper,PAY1,PA-31T1-500 Cheyenne I/IA,Piston,2,3.9462504
Piper,PAY2,PA-31T-260 Cheyenne/Cheyenne II,Piston,2,4.082328
Piper,PAT4,PA-31T3 T-1040 Airliner,Piston,2,4.082328
Piper,PAY2,PA-31T2 Cheyenne IIXL,Piston,2,4.297330608
Piper,PAY3,"PA-42-720 Cheyenne III, IIIA",Turboprop,2,5.0802304
Piper,PAY4,PA-42-1000 Cheyenne 400 LS (formerly IV),Turboprop,2,5.4657836
Progressive Aerodyne,,Searey Sport/Elite (Amphibious LSA),Piston,1,0.64863656
PZL Mielec,,M-20 Mewa (Polish version of Piper PA-34-200T Seneca II),Piston,2,2.069740296
PZL Mielec,M18,M-18 Dromader (an Ag plan) (all versions),Piston,1,5.299768928
PZL Mielec,AN2,AN-2 Antek,Piston,1,5.499803
PZL Mielec,,M-28 Skytruck (the M28B Bryza is the non-pressurised ver),Turboprop,2,6.999831744
Quest,,Kodiak 100,Turboprop,1,3.29080996
Quest,KODI,Kodiak 900,,,3.628736
Raytheon,,180,,,1.1113004
Raytheon,,200,,,1.247378
Raytheon,,V,,,1.5422128
Raytheon,,A,,,1.6556108
Raytheon,,76,,,1.7690088
Raytheon,,E,,,4.2184056
Raytheon,,F,,,4.9668324
Raytheon,,C,,,5.1255896
Raytheon,,300,,,5.6699
Raytheon,,B,,,5.6699
Rockwell International,AC52,COMMANDER 520,,,2.494756
Rockwell International,AC56,Aero Commander 560,,,2.948348
Rockwell International,AC68,Aero Commander 680,,,3.40194
Rockwell International,AC80,Turbo Commander 680T,,,4.0596484
Rockwell International,AC90,Turbo Commander 690,,,4.649318
Rockwell International,AC95,Commander 695,,,4.6833374
Rockwell International,B1*,B-1,,,216.363384
Saab,SF34,SF 340,,,13.154168
Saab,SB20,2000,Turboprop,2,22.79980188
Schweizer,EDGE,269D 330,,,0.7030676
Schweizer,EDGE,269D 333,,,0.8845044
Sikorsky,B18T,S-76,,,4.66292576
Sikorsky,DHC6,Sea King,,,5.443104
Sikorsky,DHC6,SH-3 Sea King,,,5.6699
Stearman,NAVI,Kaydet,,,1.4288148
Stearman,NAVI,PT-13 Kaydet,,,1.50365748
Stearman,,PT-17 Kaydet,,,164.027939
Stinson,,10 Voyager,,,36.50599134
Stinson,,108 Station Wagon,,,46.9921312
Stinson,,Tri-Motor (A),,,97.9985516
Stinson,,Reliant,,,179.622432
Suchoi / Sukhoi,,Su-47 Berkut,,,0.57606184
Suchoi / Sukhoi,,Su-7,,,0.69853168
Suchoi / Sukhoi,,Su-30,,,0.775188728
Suchoi / Sukhoi,,Su-31,,,0.83007336
Suchoi / Sukhoi,,Su-80,,,0.919884576
Suchoi / Sukhoi,,Su-33,,,4.762716
Suchoi / Sukhoi,,Su-34,,,4.762716
Suchoi / Sukhoi,,Su-35,,,4.762716
Suchoi / Sukhoi,,Su-37,,,4.762716
Suchoi / Sukhoi,,Su-38,,,6.4183268
Sud,,CM-170R Magister,,,0.59874144
Sud,,SE-210 Caravelle,,,1.230141504
Sud-Ouest / SNCASO,,SO-1221 Djinn,,,3.599706112
TBM,TBM7,700,,,2.984181768
The Airplane Factory,SLING2,700,,,2.984181768
TBM,TBM8,850,,,3.353859248
TBM,TBM9,960,,,3.45410308
Vashon,,Ranger R7,Piston,1,0.59874144
Westland,SH33,Scout,,,9.979024
Westland,SH36,Sea King,,,11.793392
Zlin,NAVI,Z-526 Trener Master,,,1.2927372
Zlin,AC50,Zlin Z-726 Universal,,,3.061746
Zlin,SBR1,Z-142,,,8.4594908
Zlin,SBR1,Z-143,,,9.07184
Zlin,SBR2,Z-182,,,10.5686936
Zlin,SBR1,Z-181,,,10.886208
Zlin,SBR2,Z-183,,,11.113004
