name,latitude,longitude
ROVUM,-11.60616944,35.55853889
SELRU,-2.49725,35.85539722
SINGI,-5.783902778,34.90962222
TABNO,-10.38708889,43.63983889
TEBLU,-1.328369444,33.77406111
TIKAN,-9.080191667,31.96531389
UDMAM,-3.702402778,30.41735
UDNOT,-9.085591667,32.10316944
UMTAP,-10.56015278,34.63601389
USUBU,-4.4815,32.94573889
UTATA,-2.685825,37.04250556
UTEMA,-9.296933333,32.75235278
UTEPI,-3.509367,38.835407
UTINA,-11.16843333,34.48906667
UVKAT,-9.312761111,34.95963056
UVKOD,-1.737063889,32.34793611
UVLED,-2.374308333,32.31906389
UVMAN,-5.095933333,32.17642778
UVMEX,-6.722727778,39.91441667
UVMID,-3.581225,32.25554167
UVORA,-7.432583333,30.00206389
UVUKO,-4.702336111,39.50090833
UVUMI,-5.66095,35.84696111
VOR GOMA,-1.678602778,29.24051389
XABON,-4.079056,44.001044
XAKRI,-2.190322222,36.17283611
XINDA,-1.084927778,33.96143889
